#{"t_start": 1775745578.0254052, "env_id": "None"}
r,l,t
12.3,47,43.979395
48.5,47,44.027377
11.45,47,44.069841
12.35,47,44.109543
12.3,47,44.148374
13.65,47,44.201358
35.0,47,44.244913
-114.495877,47,44.286172
35.9,47,44.328803
11.25,47,44.373214
25.9,47,44.411645
-14.511222,47,44.460494
23.072616,47,44.501523
26.3,47,44.552639
11.7,47,44.591844
13.65,47,44.634787
15.45,47,44.674909
-416.50252,47,44.728226
70.0,47,44.770413
21.35,47,44.813251
14.35,47,44.853311
24.35,47,44.899706
10.2,47,44.941268
11.2,47,44.985639
62.8,47,45.028846
17.05,47,45.079848
-138.939126,47,45.120695
-22.303368,47,45.160165
51.25,47,45.199421
63.9,47,45.249145
74.4,47,45.291399
-29.380281,47,45.33529
-36.078291,47,45.374306
-81.889803,47,45.420329
-14.832247,47,45.460501
15.811856,47,45.507263
28.5,47,45.549274
-12.618022,47,45.596169
-10.11814,47,45.641113
11.9,47,45.681571
11.069905,47,45.720523
10.986695,47,45.773217
0.490337,47,45.816844
5.389668,47,45.861741
21.0,47,45.903097
13.65,47,45.948243
9.645882,47,45.98769
33.15,47,46.035136
50.2,47,46.077212
30.0,47,46.123001
45.05,47,46.166285
87.6,47,46.208682
49.0,47,46.249934
136.0,47,46.299795
53.9,47,46.342182
31.3,47,46.387396
29.175881,47,46.427347
41.4,47,46.47396
42.95,47,46.519631
50.75,47,46.563363
31.45,47,46.605083
36.5,47,46.654007
42.307552,47,46.694343
53.095127,47,46.734939
42.459721,47,46.777217
13.22812,47,46.825011
43.8,47,46.868202
56.9,47,46.912362
60.05,47,46.951632
53.3,47,46.997478
62.25,47,47.041839
90.7,47,47.087144
85.6,47,47.128251
102.55,47,47.174129
64.25,47,47.217226
-83.187618,47,47.255756
-1310.299537,47,47.298464
64.139995,47,47.346368
60.85,47,47.390367
