#{"t_start": 1776083382.0690448, "env_id": "None"}
r,l,t
-141.167496,47,32.812459
-17.119488,47,32.873032
-200.833446,47,32.930769
21.3,47,32.993479
23.376873,47,33.052804
-47.594012,47,33.110839
-2.44936,47,33.172096
13.85,47,33.232203
-312.445268,47,33.284947
17.45,47,33.346206
-49.459328,47,33.399719
11.740337,47,33.461715
-33.368334,47,33.520104
-19.884665,47,33.581151
-101.77352,47,33.633261
15.3,47,33.693506
-90.783813,47,33.752105
-55.771674,47,33.808256
-85.942669,47,33.863874
34.5,47,33.925621
63.513707,47,33.980464
47.65,47,34.039712
146.0,47,34.094948
-37.412637,47,34.157581
31.85,47,34.219716
30.15,47,34.278687
18.613933,47,34.335299
44.2,47,34.395164
-23.385504,47,34.453227
-13.741625,47,34.515687
3.318693,47,34.57558
43.8509,47,34.639019
53.4,47,34.69468
16.920326,47,34.754116
-71.163805,47,34.808833
47.7,47,34.872766
55.09102,47,34.934521
67.55,47,34.993312
51.0,47,35.053157
56.65,47,35.114486
79.1,47,35.177089
71.45,47,35.235494
93.702062,47,35.29703
54.302995,47,35.362244
-139.201572,47,35.42013
-2921.554165,47,35.483099
52.422278,47,35.538447
80.7,47,35.603328
19.809273,47,35.661035
11.7,47,35.725487
-10.943397,47,35.783208
19.3,47,35.844715
1.876145,47,35.903572
17.35,47,35.966244
17.1,47,36.027043
-25.970665,47,36.093006
-59.186876,47,36.156225
6.8,47,36.219087
24.3,47,36.27946
-221.942025,47,36.339924
0.180492,47,36.400488
-75.342825,47,36.459393
-183.479949,47,36.517974
2.9,47,36.580069
-185.710362,47,36.641145
-359.70713,47,36.699554
-542.068225,47,36.756214
-345.976102,47,36.82156
57.15,47,36.881454
-384.011976,47,36.943905
-319.370456,47,36.998105
22.9,47,37.057565
-31.005334,47,37.116704
53.65,47,37.177822
40.8,47,37.234961
-6.272975,47,37.296953
51.25,47,37.359975
7.844644,47,37.418261
48.35,47,37.474811
88.8,47,37.538856
-1451.998358,47,37.599206
12.656738,47,37.661362
-695.506208,47,37.724376
-1916.664528,47,37.788595
96.85,47,37.851151
57.75,47,37.915682
37.85,47,37.974709
34.695367,47,38.036851
-195.165692,47,38.099142
-165.673365,47,38.15464
-36.357683,47,38.212073
-34.449015,47,38.273893
-23.416942,47,38.335991
